经销商代码,经销商名称,营销大区,服务大区,销服中心组长,区域服务经理,本月已结算总额,本月未结算总额,本月总采购金额,危化品,Unnamed: 10,Unnamed: 11,Unnamed: 12
M18255,孝感景帆汽车销售服务有限公司,中区,中区,,,13268.970000000003,6185.7,19454.670000000002,,19454.670000000002,,
M18550,佛山市中衡骏达汽车销售服务有限公司,南区,南一区,,,0.0,0.0,0.0,,0.0,,
M18325,商丘市宝利鑫凯汽车销售服务有限公司,中区,中区,,,0.0,0.0,0.0,,0.0,,
A28381,潮州市德隆汽车贸易有限公司,南区,南一区,,,66887.61999999998,11591.260000000002,78478.87999999998,,78478.87999999998,,
M18247,北京东南得利卡汽车贸易有限公司,北区,北区,,,30652.55,0.0,30652.55,,30652.55,,
M18139,河源市宝恒汽车销售有限公司,南区,南一区,,,0.0,0.0,0.0,,0.0,,
M18195,青岛海昌汽车销售有限公司,中区,中区,,,30254.520000000004,0.0,30254.520000000004,,30254.520000000004,,
M18202,东莞市昊天林汽车销售服务有限公司,南区,南一区,,,0.0,0.0,0.0,,0.0,,
M18071,韶关市荣和通达汽车贸易有限公司,南区,南一区,,,49396.32999999998,244.73000000000002,49641.05999999998,,49641.05999999998,,
M18171,贵州万友汽车销售服务有限公司钦州分公司,南区,南一区,,,0.0,0.0,0.0,,0.0,,
M18563,贵州兴新田源烨汽车销售服务有限公司,西区,西一区,,,0.0,0.0,0.0,,0.0,,
M18068,漳州富骏汽车有限公司,南区,南二区,,,0.0,0.0,0.0,,0.0,,
M18222,承德浩驰汽车销售服务有限公司,北区,北区,,,2252.12,0.0,2252.12,,2252.12,,
M18103,盘锦路华汽车销售服务有限公司,北区,北区,,,0.0,0.0,0.0,,0.0,,
A27256,驻马店市腾达汽车销售服务有限公司,中区,中区,,,0.0,0.0,0.0,,0.0,,
M18136,玉溪市珊瑚汽车销售服务有限公司,西区,西一区,,,0.0,0.0,0.0,,0.0,,
M18618,广州美轮丰达汽车有限公司,南区,南一区,,,0.0,0.0,0.0,,0.0,,
M18606,长沙博程骏粤汽车销售有限公司,南区,南二区,,,0.0,0.0,0.0,,0.0,,
M18081,泉州盛成汽车销售服务有限公司,南区,南二区,,,0.0,0.0,0.0,,0.0,,
M18015,广元驭马车业有限公司,西区,西一区,,,0.0,0.0,0.0,,0.0,,
M18125,眉山市御程汽车销售服务有限公司,西区,西一区,,,0.0,0.0,0.0,,0.0,,
M18169,莆田龙益汽车销售服务有限公司,南区,南二区,,,14673.309999999998,9975.130000000001,24648.44,,24648.44,,
M18163,张家港全骏汽车销售服务有限公司,东区,东区,,,168081.0399999999,36940.54,205021.5799999999,,205021.5799999999,,
M18074,上海绿地汽车销售有限公司,东区,东区,,,0.0,0.0,0.0,,0.0,,
M18611,百色方泰汽车销售服务有限公司,南区,南一区,,,0.0,0.0,0.0,,0.0,,
A28255,淮北市达马汽车销售服务有限公司,中区,中区,,,0.0,0.0,0.0,,0.0,,
M18189,三明市长隆汽车销售服务有限公司,南区,南二区,,,0.0,0.0,0.0,,0.0,,
M18206,大连华为汽车销售服务有限公司,北区,北区,,,25301.60000000001,557.43,25859.03000000001,,25859.03000000001,,
M18252,枣庄爱马行汽车销售服务有限公司,中区,中区,,,0.0,0.0,0.0,,0.0,,
M18016,自贡市志云汽车维修有限公司,西区,西一区,,,0.0,0.0,0.0,,0.0,,
M18205,珠海市通华汽车销售服务有限公司,南区,南一区,,,0.0,0.0,0.0,,0.0,,
M18612,清远市中衡骏达汽车销售服务有限公司,南区,南一区,,,0.0,0.0,0.0,,0.0,,
M18175,巴州四季秋林汽车销售有限公司,西区,西二区,,,69189.08000000003,557.43,69746.51000000002,,69746.51000000002,,
M18266,山西诺维兰集团运城瑞嘉汽车销售服务有限公司,北区,北区,,,0.0,0.0,0.0,,0.0,,
M18355,晋江成达汽车销售服务有限公司,南区,南二区,,,0.0,0.0,0.0,,0.0,,
M18503,台州运通博阳汽车销售服务有限公司,东区,东区,,,0.0,0.0,0.0,,0.0,,
M18258,安阳市万德福汽车销售服务有限公司,中区,中区,,,0.0,0.0,0.0,,0.0,,
M18332,无锡市众达汽车销售服务有限公司,东区,东区,,,0.0,0.0,0.0,,0.0,,
