经销商代码,经销商名称,营销大区,服务大区,区域经理,退网,7月,8月,9月,Q3,Q3除退网,7月除退网,8月除退网,9月除退网,Unnamed: 14
M18610,广西马之悦汽车销售服务有限公司,南区,南一区,薛仲锋,,290000.0,290000,334000.0,914000,914000,289900,289900,334200,
M18351,广东物通驭达汽车有限公司,南区,南一区,王胜文,,406000.0,406000,468000.0,1280000,1280000,405900,405900,468200,
M18201,贺州市均浩汽车销售有限公司,南区,南一区,薛仲锋,,199000.0,199000,229000.0,627000,627000,198900,198900,229200,
M18167,北海瑞祥盛汽车销售服务有限公司,南区,南一区,薛仲锋,,199000.0,199000,229000.0,627000,627000,198900,198900,45840,无
A28381,潮州市德隆汽车贸易有限公司,南区,南一区,张裕坤,,147000.0,147000,170000.0,464000,464000,147200,147200,169600,
A28858,清远市骏昇汽车销售服务有限公司,南区,南一区,王胜文,,165000.0,165000,191000.0,521000,521000,165200,165200,190600,
A26216,揭阳恒诚汽车贸易有限公司,南区,南一区,张裕坤,,134000.0,134000,155000.0,423000,423000,134200,134200,154600,
M18071,韶关市荣和通达汽车贸易有限公司,南区,南一区,张裕坤,,120000.0,120000,139000.0,379000,379000,120200,120200,138600,
M18349,广西鑫广达汽车销售服务有限公司,南区,南一区,薛仲锋,,397000.0,397000,458000.0,1252000,1252000,397000,397000,458000,
M18352,佛山市广物驭达汽车销售服务有限公司,南区,南一区,宋扬,有,127000.0,127000,147000.0,401000,240600,76300,76300,88000,
M18922,东莞众强,南区,南一区,张裕坤,,135000.0,135000,156000.0,426000,426000,135100,135100,155800,
M18892,辽宁驰敖中联汽车销售服务有限公司,北区,北区,唐宏宇,,695000.0,695000,802000.0,2192000,2192000,695100,695100,801800,
A13289,大连众联达贸易有限公司,北区,北区,唐宏宇,,655000.0,655000,756000.0,1416000,1416000,449000,449000,518000,
A17995,哈尔滨龙洋汽车销售有限公司,北区,北区,邵传海,,584000.0,584000,674000.0,1842000,1842000,584100,584100,673800,
M18222,承德浩驰汽车销售服务有限公司,北区,北区,鲁金泽,,56000.0,56000,65000.0,177000,177000,56200,56200,64600,
M18390,保定市威达汽车销售服务有限公司,北区,北区,鲁金泽,,368000.0,368000,424000.0,1160000,1160000,367900,367900,424200,
A32801,辽宁旺达汽车销售服务有限公司,北区,北区,唐宏宇,,199000.0,199000,229000.0,627000,627000,198900,198900,229200,
M18276,辽宁福达汽车销售服务有限公司,北区,北区,唐宏宇,,468000.0,468000,540000.0,1476000,1476000,468000,468000,540000,
M18897,沧州仓安汽车销售服务有限公司,北区,北区,鲁金泽,,105000.0,105000,121000.0,331000,331000,105000,105000,121000,
M18247,北京东南得利卡汽车贸易有限公司,北区,北区,祁玮,,104000.0,104000,119000.0,327000,327000,103700,103700,119600,
M18297,邯郸德骏汽车销售有限公司,北区,北区,祁玮,,171000.0,171000,197000.0,539000,539000,171000,171000,197000,
M18306,北京瑞豪成商贸有限公司,北区,北区,祁玮,,263000.0,263000,303000.0,829000,829000,262900,262900,303200,
M18283,长春久鼎汽车销售服务有限公司,北区,北区,唐宏宇,,269000.0,269000,310000.0,848000,848000,268900,268900,310200,
M18285,吉林省仁德汽车销售服务有限公司,北区,北区,唐宏宇,,462000.0,462000,533000.0,1457000,1457000,462000,462000,533000,
A19776,邢台蓝池跃龙汽车服务有限公司,北区,北区,祁玮,,182000.0,182000,210000.0,574000,574000,182000,182000,210000,
A13279,河北骏达汽车贸易有限公司,北区,北区,祁玮,,200000.0,200000,231000.0,631000,631000,200100,200100,230800,
M18229,天津远大盈之马汽车销售服务有限公司,北区,北区,鲁金泽,,321000.0,321000,370000.0,1012000,1012000,320900,320900,370200,
M18307,北京华日通汽车销售服务有限公司,北区,北区,祁玮,,306000.0,306000,353000.0,965000,965000,306000,306000,353000,
M18218,包头市鸿燕福达汽车销售服务有限公司,北区,北区,邵传海,,152000.0,152000,175000.0,479000,479000,151900,151900,175200,
A18056,赤峰新雅迪汽车销售服务有限公司,北区,北区,邵传海,,198000.0,198000,228000.0,624000,624000,197900,197900,228200,
