经销商代码之计数,经销商名称之计数,经销商简称,省份,城市,投资主体,状态,服务大区,服务区域经理,1月机油金额,2月机油金额,3月机油金额,4月机油金额,5月机油金额,6月机油金额,7月机油金额,8月机油金额,9月机油金额,10月机油金额,11月机油金额,12月机油金额,1月保养台次,2月保养台次,3月保养台次,4月保养台次,5月保养台次,6月保养台次,7月保养台次,8月保养台次,9月保养台次,10月保养台次,11月保养台次,12月保养台次
A27235,威海悦祥汽车服务有限公司,威海悦祥,山东省,威海市,威海悦祥,正常,中区,李付敬,25476.48,14017.2,,,,,,,,,,,127.0,124.0,,,,,,,,,,
A32364,淄博安华汽车销售服务有限公司,淄博安华,山东省,淄博市,淄博安华,正常,中区,李伟,36222.48,23473.38,,,,,,,,,,,179.0,147.0,,,,,,,,,,
A26095,太仓华洋汽车销售服务有限公司,太仓华洋,江苏省,苏州市,,正常,东区,晏礼奎,26425.2,0.0,,,,,,,,,,,186.0,138.0,,,,,,,,,,
M18018,诸暨国赛汽车有限公司,诸暨国赛,浙江省,绍兴市,浙江国赛,正常,东区,李波,35142.36,13212.6,,,,,,,,,,,144.0,118.0,,,,,,,,,,
M18313,合肥市贺悦汽车销售服务有限公司,合肥市贺悦,安徽省,合肥市,合肥贺悦,正常,中区,李伟,7415.580000000001,21459.059999999998,,,,,,,,,,,120.0,115.0,,,,,,,,,,
M18163,张家港全骏汽车销售服务有限公司,张家港全骏,江苏省,苏州市,江苏富骏,正常,东区,晏礼奎,31139.04,24825.9,,,,,,,,,,,192.0,131.0,,,,,,,,,,
M18138,江西金乐玛汽车销售服务有限公司,江西金乐玛,江西省,吉安市,江西金乐玛,正常,南区,王胜文,43974.240000000005,40052.340000000004,,,,,,,,,,,161.0,153.0,,,,,,,,,,
M18371,贵州正合隆汽车销售有限公司,贵州正合隆,贵州省,贵阳市,正能量集团,正常,西区,卢冶金,19208.46,51002.22,,,,,,,,,,,193.0,177.0,,,,,,,,,,
M18927,徐州正马汽车销售服务有限公司,徐州正马,江苏省,徐州市,盐城申大,正常,东区,陈秋刚,43311.780000000006,42675.12,,,,,,,,,,,142.0,284.0,,,,,,,,,,
M18917,河北桐响汽车贸易有限公司,河北桐响,河北省,石家庄市,河北桐响,正常,北区,祁玮,43500.30000000001,27805.74,,,,,,,,,,,148.0,137.0,,,,,,,,,,
M18088,佛山智迪汽车有限公司,佛山智迪,广东省,佛山市,,正常,南区,宋扬,36530.880000000005,0.0,,,,,,,,,,,219.0,147.0,,,,,,,,,,
A22537,阜阳市广旭汽车销售服务有限公司,阜阳市广旭,安徽省,阜阳市,,正常,中区,李伟,27641.339999999997,51970.38,,,,,,,,,,,107.0,161.0,,,,,,,,,,
A13279,河北骏达汽车贸易有限公司,河北骏达汽车,河北省,石家庄市,河北郡达,正常,北区,祁玮,62033.34000000001,38244.9,,,,,,,,,,,190.0,179.0,,,,,,,,,,
A32359,马鞍山中冠汽车销售服务有限公司,马鞍山中冠,安徽省,马鞍山市,马鞍山中冠,正常,中区,李付敬,52120.8,37136.04,,,,,,,,,,,155.0,163.0,,,,,,,,,,
